latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-25.221,131.069,334.3,1.4,1.2,2019-08-31,01:10,T,84,6.0NRT,300.8,44.8,D
-25.219,131.055,357.7,1.4,1.2,2019-08-31,01:10,T,98,6.0NRT,306.1,122.7,D
-25.211,131.071,328.4,1.4,1.2,2019-08-31,01:10,T,79,6.0NRT,302.4,31.1,D
-25.208,131.057,349.2,1.4,1.2,2019-08-31,01:10,T,94,6.0NRT,306.4,88.9,D
-15.824,130.352,318.3,2.4,1.5,2019-08-31,01:10,T,54,6.0NRT,307.3,23.7,D
-15.82,130.33,317.3,2.5,1.5,2019-08-31,01:10,T,51,6.0NRT,306.1,22.7,D
-16.642,136.69,325.1,1,1,2019-08-31,01:10,T,67,6.0NRT,312,8.3,D
-16.619,136.848,330,1,1,2019-08-31,01:10,T,72,6.0NRT,312.5,12.7,D
-17.237,142.679,323.1,1.8,1.3,2019-08-31,01:10,T,49,6.0NRT,304,23,D
-17.199,142.724,325,1.8,1.3,2019-08-31,01:10,T,65,6.0NRT,305.3,23.2,D
-17.197,142.707,340.5,1.8,1.3,2019-08-31,01:10,T,89,6.0NRT,305.4,73.9,D
-16.324,136.478,326.7,1,1,2019-08-31,01:10,T,51,6.0NRT,311.6,10.1,D
-17.049,142.732,346.6,1.8,1.3,2019-08-31,01:10,T,93,6.0NRT,305.7,98,D
-17.047,142.715,338.6,1.8,1.3,2019-08-31,01:10,T,87,6.0NRT,304.9,63,D
-17.015,142.441,345.1,1.7,1.3,2019-08-31,01:10,T,92,6.0NRT,299.3,84.3,D
-17.003,142.443,370.9,1.7,1.3,2019-08-31,01:10,T,100,6.0NRT,307.2,226.7,D
-17.001,142.427,363.5,1.7,1.3,2019-08-31,01:10,T,100,6.0NRT,309,175.7,D
-16.203,136.533,327.2,1,1,2019-08-31,01:10,T,70,6.0NRT,310.6,12.2,D
-17.054,142.738,328.5,1.8,1.3,2019-08-31,01:10,T,75,6.0NRT,304.5,31.9,D
-17.052,142.721,348.9,1.8,1.3,2019-08-31,01:10,T,94,6.0NRT,304.4,105.9,D
-15.269,134.404,334.3,1.3,1.1,2019-08-31,01:10,T,82,6.0NRT,310.9,29.3,D
-15.477,135.582,323.2,1.1,1.1,2019-08-31,01:10,T,30,6.0NRT,309.6,8.4,D
-15.403,133.181,318.5,1.5,1.2,2019-08-31,01:10,T,46,6.0NRT,307.8,11.5,D
-14.351,133.441,319.7,1.5,1.2,2019-08-31,01:10,T,47,6.0NRT,309.4,9.3,D
-14.633,135.035,343.8,1.2,1.1,2019-08-31,01:10,T,90,6.0NRT,309.8,50.7,D
-14.643,135.034,320.3,1.2,1.1,2019-08-31,01:10,T,44,6.0NRT,308.3,7.7,D
-16.038,144.335,319.2,2.3,1.5,2019-08-31,01:10,T,66,6.0NRT,302.2,29.1,D
-16.035,144.33,315.6,2.3,1.5,2019-08-31,01:10,T,33,6.0NRT,302.1,16.7,D
-14.346,132.186,323.5,1.9,1.3,2019-08-31,01:10,T,68,6.0NRT,306.5,26.7,D
-14.349,132.203,321.7,1.9,1.3,2019-08-31,01:10,T,62,6.0NRT,306.5,21.9,D
-14.372,132.34,323.4,1.9,1.3,2019-08-31,01:10,T,44,6.0NRT,311,19,D
-14.384,132.338,324.9,1.9,1.3,2019-08-31,01:10,T,52,6.0NRT,311.2,23,D
52.153,10.406,308.7,1.2,1.1,2019-08-31,01:15,A,75,6.0NRT,289.1,13,N
